,Switch ID,Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped, Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,is_valid,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label,Binary Label
157,of:000000000000000a,Port#:2,427,6320894,12637648,635,201,0,0,0,0,0,0,280,2,5,0,0,0,0,2,0,0,0,0,0,True,0,8,3412,3313,-1,TCP-SYN,Attack
158,of:000000000000000a,Port#:3,172,22832,31570384,1481,201,0,0,0,0,2,278,1896,22,5,0,0,0,0,3,0,0,0,0,0,True,0,8,3412,3313,-1,TCP-SYN,Attack
166,of:0000000000000004,Port#:1,1015,18955339,22748,170,201,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,4,2084,1973,-1,TCP-SYN,Attack
173,of:0000000000000002,Port#:1,583,12623084,12646509,767,201,0,0,0,0,0,0,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,4,1618,1549,-1,TCP-SYN,Attack
174,of:0000000000000002,Port#:2,593,6343090,12644754,736,201,0,0,0,0,2,278,278,2,5,0,0,0,0,2,0,0,0,0,0,True,0,4,1618,1549,-1,TCP-SYN,Attack
180,of:0000000000000008,Port#:3,1481,31570384,22832,172,201,0,0,0,0,22,1896,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,6,5527,5421,-1,TCP-SYN,Attack
184,of:0000000000000006,Port#:1,1077,12667776,12629156,507,201,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,4,2066,1962,-1,TCP-SYN,Attack
190,of:000000000000000c,Port#:1,362,12607952,39445,406,211,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,True,0,8,8842,8742,-1,TCP-SYN,Attack
194,of:000000000000000a,Port#:1,1270,37836184,12677141,1202,211,0,0,0,0,20,394809,2089,23,5,0,0,0,0,1,0,0,0,0,0,True,0,8,3707,3608,-1,TCP-SYN,Attack
198,of:000000000000000b,Port#:1,3707,6497827,12817162,3945,211,0,0,0,0,112,6551,400391,117,5,0,0,0,0,1,39983,12783816,39983,12783816,39983,True,0,8,7827,7758,-1,TCP-SYN,Attack
208,of:0000000000000001,Port#:2,645,18918883,6350127,686,211,0,0,0,0,0,0,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,6,9372,9278,-1,TCP-SYN,Attack
226,of:0000000000000009,Port#:2,3471,201490,23398,167,211,0,0,0,0,98,5620,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,5372,5273,-1,TCP-SYN,Attack
243,of:0000000000000004,Port#:2,415,40366,18935261,712,221,0,0,0,0,4,556,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,4,2140,2029,-1,TCP-SYN,Attack
261,of:0000000000000006,Port#:2,190,24946,33139,310,221,0,0,0,0,4,556,556,4,4,0,0,0,0,2,0,0,0,0,0,True,0,4,2122,2018,-1,TCP-SYN,Attack
264,of:0000000000000009,Port#:2,3662,212314,24232,173,221,0,0,0,0,95,5470,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,5703,5604,-1,TCP-SYN,Attack
269,of:000000000000000c,Port#:4,69,9264,6312315,239,56,0,0,0,0,5,626,2233149,66,5,0,0,0,0,4,630328,6303287,630328,6303287,630328,True,0,8,1062,968,-1,TCP-SYN,Attack
277,of:0000000000000003,Port#:2,604,6326922,39483,598,56,0,0,0,0,94,5076,5632,98,5,0,0,0,0,2,464,21978,464,21978,464,True,0,6,1311,1221,-1,TCP-SYN,Attack
279,of:0000000000000003,Port#:4,598,39419,31866,488,56,0,0,0,0,98,5632,5702,99,5,0,0,0,0,4,464,21978,464,21978,464,True,0,6,1311,1221,-1,TCP-SYN,Attack
281,of:0000000000000004,Port#:2,488,31866,39419,598,56,0,0,0,0,99,5702,5632,98,5,0,0,0,0,2,475,21978,475,21978,475,True,0,6,1176,1091,-1,TCP-SYN,Attack
284,of:0000000000000001,Port#:2,125,8719,6312644,242,56,0,0,0,0,0,0,556,4,5,0,0,0,0,2,0,6303286,0,6303286,0,True,0,6,483,395,-1,TCP-SYN,Attack
295,of:0000000000000005,Port#:1,183,17057,6312312,236,56,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,6303286,0,6303286,0,True,0,6,716,631,-1,TCP-SYN,Attack
305,of:000000000000000c,Port#:2,124,8697,6313477,248,66,0,0,0,0,0,0,763,5,5,0,0,0,0,2,0,0,0,0,0,True,0,6,1091,994,-1,TCP-SYN,Attack
329,of:0000000000000007,Port#:3,246,6313475,6321358,361,66,0,0,0,0,5,759,759,5,5,0,0,0,0,3,0,0,0,0,0,True,0,4,747,641,-1,TCP-SYN,Attack
334,of:0000000000000005,Port#:2,249,6313621,10273,76,66,0,0,0,0,5,759,759,5,4,0,0,0,0,2,0,0,0,0,0,True,0,4,757,667,-1,TCP-SYN,Attack
341,of:0000000000000009,Port#:3,76,10319,12650061,1035,66,0,0,0,0,5,763,2238574,164,5,0,0,0,0,4,0,0,0,0,0,True,0,7,1242,1146,-1,TCP-SYN,Attack
347,of:000000000000000a,Port#:2,823,44738,55151,896,76,0,0,0,0,100,5400,5960,104,5,0,0,0,0,2,491,43146,491,43146,491,True,0,8,2434,2349,-1,TCP-SYN,Attack
349,of:000000000000000a,Port#:4,1242,12661753,11271,84,76,0,0,0,0,104,5956,560,4,5,0,0,0,0,5,0,0,0,0,0,True,0,8,2434,2349,-1,TCP-SYN,Attack
355,of:0000000000000003,Port#:4,1118,70253,6358392,1069,76,0,0,0,0,104,5956,5956,104,5,0,0,0,0,4,491,6346433,491,6346433,491,True,0,10,2723,2625,-1,TCP-SYN,Attack
373,of:0000000000000005,Port#:3,82,10941,11219,84,76,0,0,0,0,4,556,556,4,5,0,0,0,0,4,0,0,0,0,0,True,0,4,787,695,-1,TCP-SYN,Attack
375,of:0000000000000006,Port#:2,84,11219,10941,82,76,0,0,0,0,4,556,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,8,2329,2227,-1,TCP-SYN,Attack
379,of:0000000000000009,Port#:3,84,11271,12661861,1244,76,0,0,0,0,4,560,6010,105,5,0,0,0,0,4,0,0,0,0,0,True,0,6,1473,1375,-1,TCP-SYN,Attack
380,of:000000000000000c,Port#:1,359,12607731,27275,313,86,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,True,0,6,1419,1319,-1,TCP-SYN,Attack
414,of:0000000000000006,Port#:3,1324,81875,11817,89,86,0,0,0,0,100,5570,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,6,2753,2651,-1,TCP-SYN,Attack
416,of:0000000000000009,Port#:2,91,12095,11727,83,86,0,0,0,0,2,278,278,2,5,0,0,0,0,3,5437,54378,5437,54378,5437,True,0,5,1709,1611,-1,TCP-SYN,Attack
431,of:0000000000000003,Port#:4,1522,93053,6381192,1473,96,0,0,0,0,98,5462,5462,98,5,0,0,0,0,4,469,64152,469,64152,469,True,0,6,3545,3447,-1,TCP-SYN,Attack
439,of:0000000000000002,Port#:1,12,1016,13061,99,96,0,0,0,0,0,0,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,4,193,137,-1,TCP-SYN,Attack
446,of:0000000000000008,Port#:3,1513,92671,12929,97,96,0,0,0,0,98,5464,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,7,2643,2546,-1,TCP-SYN,Attack
449,of:0000000000000005,Port#:3,96,12693,12971,98,96,0,0,0,0,2,278,278,2,5,0,0,0,0,4,0,6303287,0,6303287,0,True,0,6,1128,1036,-1,TCP-SYN,Attack
464,of:000000000000000b,Port#:1,191,6304760,21844,218,106,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,True,0,6,506,447,-1,TCP-SYN,Attack
467,of:0000000000000003,Port#:2,1921,18986044,112118,1830,106,0,0,0,0,159,2500043,8581,138,5,0,0,0,0,2,759,81819,759,81819,759,True,0,8,4229,4131,-1,TCP-SYN,Attack
469,of:0000000000000003,Port#:4,1830,111990,6392336,1667,106,0,0,0,0,138,8581,5470,95,5,0,0,0,0,4,448,74142,448,74142,448,True,0,8,4229,4131,-1,TCP-SYN,Attack
472,of:0000000000000004,Port#:3,1818,111260,6392336,1667,106,0,0,0,0,139,8635,5524,96,5,0,0,0,0,3,496,74142,496,74142,496,True,0,7,3663,3571,-1,TCP-SYN,Attack
474,of:0000000000000001,Port#:2,126,8789,6317575,281,106,0,0,0,0,0,0,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,4,882,787,-1,TCP-SYN,Attack
475,of:0000000000000001,Port#:3,102,13915,13883,102,106,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,4,882,787,-1,TCP-SYN,Attack
480,of:0000000000000007,Port#:2,741,18932058,6325150,392,106,0,0,0,0,69,2364415,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,5,1319,1211,-1,TCP-SYN,Attack
488,of:0000000000000006,Port#:1,1668,6392390,111314,1819,106,0,0,0,0,96,5524,8635,139,5,0,0,0,0,1,847,81819,847,81819,847,True,0,7,3685,3583,-1,TCP-SYN,Attack
489,of:0000000000000006,Port#:2,107,14125,13917,106,106,0,0,0,0,4,556,626,5,5,0,0,0,0,2,0,0,0,0,0,True,0,7,3685,3583,-1,TCP-SYN,Attack
499,of:000000000000000a,Port#:2,12,996,19218,147,156,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,4,1617,1515,-1,TCP-SYN,Attack
504,of:0000000000000003,Port#:1,288,6311151,6329544,427,156,0,0,0,0,100,6596,6303026,168,5,0,0,0,0,1,0,0,0,0,0,True,0,8,7113,7009,-1,TCP-SYN,Attack
508,of:0000000000000004,Port#:1,3105,12768488,18646,137,156,0,0,0,0,102,5848,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,3907,3802,-1,TCP-SYN,Attack
517,of:0000000000000007,Port#:1,141,18814,18604,136,156,0,0,0,0,5,598,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,1285,1171,-1,TCP-SYN,Attack
521,of:0000000000000008,Port#:2,595,12632936,26407,250,156,0,0,0,0,5,598,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,5,1875,1765,-1,TCP-SYN,Attack
522,of:0000000000000008,Port#:3,772,18936832,26985,262,156,0,0,0,0,4,560,598,5,5,0,0,0,0,3,0,0,0,0,0,True,0,5,1875,1765,-1,TCP-SYN,Attack
529,of:0000000000000009,Port#:1,321,6322525,6337371,540,156,0,0,0,0,5,598,598,5,5,0,0,0,0,1,0,6303353,0,6303353,0,True,0,5,1556,1451,-1,TCP-SYN,Attack
549,of:0000000000000001,Port#:1,186,6304415,22784,227,116,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,902,806,-1,TCP-SYN,Attack
560,of:0000000000000008,Port#:3,2024,123050,14959,113,116,0,0,0,0,142,8757,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,8,3487,3390,-1,TCP-SYN,Attack
572,of:000000000000000c,Port#:3,1034,25244536,6349179,729,126,0,0,0,0,70,2495407,3461,46,5,0,0,0,0,3,0,0,0,0,0,True,0,6,2073,1971,-1,TCP-SYN,Attack
577,of:000000000000000a,Port#:4,2417,19021869,15919,120,126,0,0,0,0,98,5632,280,2,5,0,0,0,0,5,0,0,0,0,0,True,0,8,5049,4963,-1,TCP-SYN,Attack
578,of:000000000000000b,Port#:1,192,6304830,23566,231,126,0,0,0,0,1,70,280,2,5,0,0,0,0,1,0,0,0,0,0,True,0,4,533,473,-1,TCP-SYN,Attack
579,of:000000000000000b,Port#:2,231,23518,6319695,299,126,0,0,0,0,2,280,350,3,5,0,0,0,0,2,0,0,0,0,0,True,0,4,533,473,-1,TCP-SYN,Attack
583,of:0000000000000003,Port#:4,2344,142335,12718578,2245,126,0,0,0,0,96,5354,5354,96,5,0,0,0,0,4,-9061,0,-9061,0,-9061,True,0,8,5353,5253,-1,TCP-SYN,Attack
598,of:0000000000000008,Port#:3,2218,134042,15793,119,126,0,0,0,0,96,5356,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,8,3982,3884,-1,TCP-SYN,Attack
601,of:0000000000000005,Port#:3,119,15627,15905,121,126,0,0,0,0,2,278,278,2,5,0,0,0,0,4,315147,6303287,315147,6303287,315147,True,0,6,1672,1578,-1,TCP-SYN,Attack
607,of:0000000000000009,Port#:3,120,15919,19021923,2418,126,0,0,0,0,2,280,5354,96,5,0,0,0,0,4,0,0,0,0,0,True,0,6,2767,2667,-1,TCP-SYN,Attack
615,of:000000000000000a,Port#:4,2788,25336584,17004,128,136,0,0,0,0,166,2631714,280,2,5,0,0,0,0,5,0,0,0,0,0,True,0,8,5727,5635,-1,TCP-SYN,Attack
621,of:0000000000000003,Port#:4,2542,153690,12729863,2442,136,0,0,0,0,95,5316,5246,94,5,0,0,0,0,4,442,105354,442,105354,442,True,0,6,5737,5632,-1,TCP-SYN,Attack
622,of:0000000000000004,Port#:1,297,6320106,16616,121,136,0,0,0,0,73,2626676,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,7,5360,5261,-1,TCP-SYN,Attack
624,of:0000000000000004,Port#:3,2528,152876,19033223,2615,136,0,0,0,0,95,5316,2631714,166,5,0,0,0,0,3,631338,6408640,631338,6408640,631338,True,0,7,5360,5261,-1,TCP-SYN,Attack
626,of:0000000000000001,Port#:2,300,6312220,6327859,411,136,0,0,0,0,0,0,348,3,5,0,0,0,0,2,0,7351,0,7351,0,True,0,8,1504,1401,-1,TCP-SYN,Attack
634,of:0000000000000008,Port#:1,127,16706,153744,2543,136,0,0,0,0,2,278,5246,94,5,0,0,0,0,1,10535,105354,10535,105354,10535,True,0,8,4296,4193,-1,TCP-SYN,Attack
640,of:0000000000000006,Port#:1,2616,19033277,152930,2529,136,0,0,0,0,163,2500444,5316,95,5,0,0,0,0,1,10535,105354,10535,105354,10535,True,0,7,5387,5277,-1,TCP-SYN,Attack
653,of:000000000000000a,Port#:4,2988,25348040,18236,138,146,0,0,0,0,100,5740,560,4,5,0,0,0,0,5,0,0,0,0,0,True,0,10,6418,6325,-1,TCP-SYN,Attack
656,of:0000000000000003,Port#:1,473,12615548,6336635,531,146,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,6,6143,6037,-1,TCP-SYN,Attack
658,of:0000000000000003,Port#:3,132,17854,17844,131,146,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,6143,6037,-1,TCP-SYN,Attack
671,of:0000000000000007,Port#:3,627,6343357,25239222,940,146,0,0,0,0,4,556,556,4,4,0,0,0,0,3,0,0,0,0,0,True,0,5,1814,1698,-1,TCP-SYN,Attack
673,of:0000000000000008,Port#:2,940,25239222,6343357,627,146,0,0,0,0,4,556,556,4,5,0,0,0,0,2,0,7021,0,7021,0,True,0,6,4515,4411,-1,TCP-SYN,Attack
679,of:0000000000000006,Port#:2,138,18138,17860,136,146,0,0,0,0,4,556,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,7,5799,5689,-1,TCP-SYN,Attack
683,of:0000000000000009,Port#:3,138,18236,25348094,2989,146,0,0,0,0,4,560,5740,100,5,0,0,0,0,4,0,0,0,0,0,True,0,6,3390,3284,-1,TCP-SYN,Attack
688,of:000000000000000a,Port#:1,346,23903,18929768,672,156,0,0,0,0,0,0,602,5,5,0,0,0,0,1,0,0,0,0,0,True,0,8,6835,6742,-1,TCP-SYN,Attack
690,of:000000000000000a,Port#:3,144,18972,175224,2918,156,0,0,0,0,4,556,5678,99,5,0,0,0,0,3,0,0,0,0,0,True,0,8,6835,6742,-1,TCP-SYN,Attack
693,of:000000000000000b,Port#:2,369,34424,12626243,497,156,0,0,0,0,5,602,602,5,4,0,0,0,0,2,0,6303303,0,6303303,0,True,0,6,870,806,-1,TCP-SYN,Attack
707,of:0000000000000007,Port#:1,140,18804,18646,137,156,0,0,0,0,4,556,598,5,5,0,0,0,0,1,0,0,0,0,0,True,0,4,1850,1734,-1,TCP-SYN,Attack
708,of:0000000000000007,Port#:2,953,25240350,6344643,643,156,0,0,0,0,5,598,598,5,5,0,0,0,0,2,0,0,0,0,0,True,0,4,1850,1734,-1,TCP-SYN,Attack
716,of:0000000000000006,Port#:1,3018,19056115,175600,2927,156,0,0,0,0,101,5770,5686,99,5,0,0,0,0,1,502,126090,502,126090,502,True,0,6,6226,6116,-1,TCP-SYN,Attack
718,of:0000000000000006,Port#:3,2944,176540,18778,144,156,0,0,0,0,100,5728,598,5,5,0,0,0,0,3,0,0,0,0,0,True,0,6,6226,6116,-1,TCP-SYN,Attack
729,of:000000000000000a,Port#:4,3494,25377904,20042,153,166,0,0,0,0,139,8626,560,4,4,0,0,0,0,5,0,0,0,0,0,True,0,8,7516,7423,-1,TCP-SYN,Attack
739,of:0000000000000001,Port#:1,187,6304485,27645,265,166,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,8,2130,2027,-1,TCP-SYN,Attack
754,of:0000000000000006,Port#:1,3322,19074597,186574,3121,166,0,0,0,0,139,8626,5512,96,5,0,0,0,0,1,480,136242,480,136242,480,True,0,7,6741,6631,-1,TCP-SYN,Attack
756,of:0000000000000006,Port#:3,3139,187556,19654,151,166,0,0,0,0,96,5512,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,7,6741,6631,-1,TCP-SYN,Attack
759,of:0000000000000009,Port#:3,153,20042,25378012,3496,166,0,0,0,0,4,560,8680,140,5,0,0,0,0,4,0,0,0,0,0,True,0,6,3942,3836,-1,TCP-SYN,Attack
768,of:000000000000000b,Port#:1,366,12608249,36152,381,176,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,True,0,4,896,832,-1,TCP-SYN,Attack
772,of:0000000000000003,Port#:3,153,20482,20346,149,176,0,0,0,0,2,278,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,6,7373,7267,-1,TCP-SYN,Attack
773,of:0000000000000003,Port#:4,3334,198596,12774811,3235,176,0,0,0,0,95,5300,5300,95,5,0,0,0,0,4,540,146934,540,146934,540,True,0,6,7373,7267,-1,TCP-SYN,Attack
774,of:0000000000000004,Port#:1,434,6331298,20356,150,176,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,7,7109,7009,-1,TCP-SYN,Attack
779,of:0000000000000001,Port#:3,497,12627168,34870,362,176,0,0,0,0,2,278,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,8,2431,2328,-1,TCP-SYN,Attack
780,of:0000000000000001,Port#:4,987,18952456,12642841,729,176,0,0,0,0,73,2626677,3326,44,5,0,0,0,0,4,0,0,0,0,0,True,0,8,2431,2328,-1,TCP-SYN,Attack
785,of:0000000000000007,Port#:3,994,18952750,25249256,1068,176,0,0,0,0,73,2626677,3326,44,5,0,0,0,0,3,311,7416,311,7416,311,True,0,7,2356,2240,-1,TCP-SYN,Attack
787,of:0000000000000008,Port#:2,1068,25249256,18952750,994,176,0,0,0,0,44,3326,2626677,73,5,0,0,0,0,2,630335,12606659,630335,12606659,630335,True,0,8,5638,5533,-1,TCP-SYN,Attack
799,of:000000000000000c,Port#:2,221,15355,12623368,467,131,0,0,0,0,0,0,763,5,5,0,0,0,0,2,0,12606730,0,12606730,0,True,0,8,1929,1824,-1,TCP-SYN,Attack
812,of:0000000000000004,Port#:1,114,16100,16184,116,131,0,0,0,0,5,759,759,5,5,0,0,0,0,1,0,0,0,0,0,True,0,4,455,344,-1,TCP-SYN,Attack
818,of:0000000000000001,Port#:4,114,16100,16184,116,131,0,0,0,0,5,759,759,5,5,0,0,0,0,4,0,0,0,0,0,True,0,4,355,260,-1,TCP-SYN,Attack
